"Codigo","Moneda","Comparar","Cambio","Cambio.","Hora de la última operación"
"ARS","Peso argentino","COP","3,91","3.91",09/02/2025 21:58:00
"AUD","Dólar australiano","COP","2574,07","2574.07",10/02/2025 02:27:03
"BDT","Taka bangladesí","COP","33,74","33.74",09/02/2025 21:58:00
"BRL","Real brasileño","COP","708,38","708.38",09/02/2025 21:58:00
"CAD","Dólar canadiense","COP","2867,41","2867.41",10/02/2025 02:27:03
"CHF","Franco suizo","COP","4512,04","4512.04",10/02/2025 02:26:59
"CNY","Yuan chino","COP","563,25","563.25",10/02/2025 02:27:02
"COP","Peso colombiano","COP","1,00","1.00",08/02/2025 00:59:00
"CZK","Corona checa","COP","168,70","168.70",10/02/2025 02:27:03
"DKK","Corona danesa","COP","568,31","568.31",10/02/2025 02:27:02
"EUR","Euro","COP","4239,36","4239.36",10/02/2025 02:27:04
"GBP","Libra esterlina","COP","5096,00","5096.00",10/02/2025 02:27:02
"HKD","Dólar de Hong Kong","COP","528,36","528.36",10/02/2025 02:26:59
"HRK","Kuna croata","COP","687,93","687.93",30/12/2022 21:59:46
"IDR","Rupia indonesia","COP","0,25","0.25",10/02/2025 02:26:55
"ILS","Nuevo shéquel israelí","COP","1155,14","1155.14",10/02/2025 02:24:31
"INR","Rupia india","COP","46,94","46.94",09/02/2025 21:58:00
"JPY","Yen japonés","COP","27,07","27.07",10/02/2025 02:27:04
"KRW","Won surcoreano","COP","2,83","2.83",10/02/2025 02:27:03
"LKR","Rupia de Sri Lanka","COP","13,84","13.84",09/02/2025 21:58:00
"MXN","Peso mexicano","COP","199,85","199.85",10/02/2025 02:27:02
"MYR","Ringgit malayo","COP","920,37","920.37",10/02/2025 02:12:19
"NGN","Naira nigeriano","COP","2,75","2.75",10/02/2025 01:47:38
"NOK","Corona noruega","COP","365,18","365.18",10/02/2025 02:27:01
"NZD","Dólar neozelandés","COP","2321,00","2321.00",10/02/2025 02:26:59
"PHP","Peso filipino","COP","70,77","70.77",10/02/2025 02:21:48
"PLN","Zloty polaco","COP","1010,90","1010.90",10/02/2025 02:27:03
"SAR","Riyal saudí","COP","1097,36","1097.36",10/02/2025 02:25:36
"SEK","Corona sueca","COP","374,62","374.62",10/02/2025 02:27:02
"SGD","Dólar de Singapur","COP","3033,52","3033.52",10/02/2025 02:27:01
"THB","Baht tailandés","COP","121,41","121.41",10/02/2025 02:26:49
"TRY","Lira turca","COP","114,25","114.25",10/02/2025 02:27:03
"TTD","Dólar de Trinidad y Tobago","COP","602,97","602.97",10/02/2025 02:26:37
"TWD","Nuevo dólar taiwanés","COP","125,34","125.34",10/02/2025 02:27:01
"TZS","Chelín tanzano","COP","1,59","1.59",09/02/2025 21:58:00
"USD","Dólar estadounidense","COP","4115,88","4115.88",09/02/2025 21:58:00
"ZAR","Rand sudafricano","COP","222,06","222.06",10/02/2025 02:27:03
